,tweet_created_at,tweet_id,tweet_text,tweet_source,tweet_coordinate,tweet_retweet_count,tweet_likes_count,user_id_list,user_name_list,user_screen_name_list,user_location_list,user_followers_count_list,user_friends_count_list,user_created_at_list,user_is_verified_list,user_description_list
0,2020-12-01 23:44:50,1333920021018501125,@davido l lost my mom during the Endsars protest due to heart attack..  I really wish I can get some support..  God bless you,Twitter for Android,,0,0,460312723,Gracious,tidylily,Winning family,1529,2290,2012-01-10 16:34:25,False,Entrepreneur #Technologist #HealthConscious #JTG Techmed Limited #Medical equipment and hospital disposable
1,2020-12-01 23:44:50,1333920020829777920,BOKO HARAM: BORNO GOV. BEGS BUHARI TO RECRUIT FOREIGN MERCENARIES TO FIG... https://t.co/yggHPTkp9z via @YouTube… https://t.co/1uWXUE5VWQ,Twitter Web App,,1,0,1893718326,LightCast TV,RachelOkporu,"Lagos, Nigeria",84,404,2013-09-22 13:27:42,False,"Content Creators, Investigative Reporting and Celebrity News"
2,2020-12-01 23:44:47,1333920007965782017,"RT @Deshysmalls: If the Nigerian Police official handle can brazenly photoshop weapons and claim they were recovered, imagine how many inno…",Twitter for iPhone,,2801,0,352141614,Dolapo,Corporatte_Thug,South-Central,8604,7732,2011-08-10 06:11:01,False,I don’t appreciate negative vibes around here. move along
3,2020-12-01 23:44:38,1333919969827037190,"RT @Deshysmalls: If the Nigerian Police official handle can brazenly photoshop weapons and claim they were recovered, imagine how many inno…",Twitter for Android,,2801,0,1326546367808897027,Emmanuel,Emmanue02319645,,286,743,2020-11-11 15:24:55,False,Happy
4,2020-12-01 23:44:16,1333919876424101888,"RT @AishaYesufu: Dear Governor Zulum
When are you calling out the Commander-in-chief the way you called out #EndSARS protesters?
Buhari @MB…",Twitter for Android,,1002,0,3216150361,saint paul,i_am_henryjay,nowhere,9810,9999,2015-05-17 20:45:19,False,inshallah
5,2020-12-01 23:44:14,1333919867561455616,"RT @OkayAfrica: ""I would never think that asking to not be killed will result in more killings.""

@adekunleGOLD gives us his thoughts on #E…",Twitter Web App,,11,0,78316402,Jamie Hitchen,jchitchen,"Ottawa, Ontario",4722,2062,2009-09-29 14:00:29,False,Freelance. Politics in West Africa & Uganda. Alumnus of @SOAS @EdinburghUni. Follower @NUFC. Scottish. Immigrant of Canada.
6,2020-12-01 23:44:08,1333919842613784576,"RT @DeleFarotimi: Silence is not an option, and bellyaching has never been a strategy for liberation. #EndSARS 

#LekkiMassacre https://t.c…",Twitter for Android,,90,0,901293126,@Olami de,adeyemoolami,"Abuja, Nigeria",21,315,2012-10-24 06:28:53,False,Never give up
7,2020-12-01 23:44:05,1333919830647459841,RT @Ashoka: The #EndSARS protests against police brutality have rocked Nigeria and the world. #AshokaFellow @gbengasesan of @ParadigmHQ war…,Twitter Web App,,12,0,709571629353967617,Adeloluwa | #ENDSARS,Temyadee,Washington DC and Nigeria,253,188,2016-03-15 02:47:14,False,"Yoruba | 여신
Diplomacy | Econ development | if we don't fight for ourselves, no one will
⚽ 🎻 🏀
🇳🇬🇺🇸🇰🇷🇯🇵🇸🇬🇮🇩🎗️
Typos = autocorrect"
8,2020-12-01 23:44:01,1333919815778652161,"@BashirAhmaad @MBuhari @geep_ng @NHGSFP @FMHDSD @Sadiya_farouq You @BashirAhmaad your families, including @MBuhari… https://t.co/v4e2OU7zw2",Twitter for Android,,0,0,976197906,VOICE OF THUNDER,voxofjustice,"New York, USA",311,915,2012-11-28 14:12:04,False,"Have you an arm like God?
Or can you thunder with a voice like His?"
9,2020-12-01 23:43:43,1333919740293595136,@kikimordi Source of income should have been #EndSars 😂,Twitter for Android,,0,0,1273330500686376961,DIZA🐦,ladizaloca,"California, USA",99,95,2020-06-17 19:03:52,False,"Strictly here for the bants | dataXproduct | Co-founder: RougeBox, Aleph | Women ❤️ | #ENDSARS"
10,2020-12-01 23:43:36,1333919711386546179,RT @Ashoka: The #EndSARS protests against police brutality have rocked Nigeria and the world. #AshokaFellow @gbengasesan of @ParadigmHQ war…,Twitter for iPhone,,12,0,156625228,Rufai,Sir_Ruffy,"Dublin City, Ireland",19890,1392,2010-06-17 12:51:18,False,Tech + People. Generalist in a Specialist World. Husband. 🇳🇬🇮🇪
11,2020-12-01 23:43:34,1333919703195115520,"RT @Deshysmalls: If the Nigerian Police official handle can brazenly photoshop weapons and claim they were recovered, imagine how many inno…",Twitter Web App,,2801,0,388003732,Obieze Agoruah,obie2cute,United States of America,671,1105,2011-10-10 01:06:18,False,music | radio | fun | football | Liverpool fc | Fashion | looking good
12,2020-12-01 23:43:15,1333919621662072833,"RT @savndaniel: Shekau has come out to give reasons why he massacred 110 Nigerians in their rice farm. 

Edkaun, where is he broadcasting f…",Twitter for iPhone,,1183,0,1974530989,END-IMPUNITY,iykedave11,,343,632,2013-10-20 09:23:38,False,"Nurse in-view, Bromatologist, food therapist, lab analyst, nutritionist, product development officer, regulatory officer,safety officer."
13,2020-12-01 23:43:13,1333919612002418688,"#EndSars 

Check out ""Here Comes Santa Claus"" by Willie Nelson on Amazon Music. https://t.co/csZqsodNAo",Twitter for iPhone,,0,0,1259583459208474624,Robert Helton,citzjustice, $citzjustice (kush🎶love),418,1817,2020-05-10 20:38:06,False,US☮️Russia US☮️Iran Middle☮️East Patriot/Protester/Pro👼🏻Choice DACA🏳️‍🌈LQBTQ+✊🏾#BLM #EndSARS 🇺🇸🇨🇦Ice🇮🇷🇸🇻🇮🇳Hockey🇷🇺🇨🇳🇰🇷Fanatic🇫🇷🇩🇪
14,2020-12-01 23:43:10,1333919599767719939,"RT @Mrflaiir: Four top most useless fiends currently alive in Nigeria, stupid fools, stupid to the point of stupor, stupendously stupid, ir…",Twitter for Android,,17,0,1323980203299950594,Michael Babb,Michael57581513,,0,4,2020-11-04 13:27:42,False,
15,2020-12-01 23:43:06,1333919582520741888,"RT @Ekwulu: My leg was amputated after I was shot at Lekki Toll Gate —23-year-old cobbler
Twenty-three-year-old Olalekan Faleye, a survivor…",Twitter for Android,,13,0,1323980203299950594,Michael Babb,Michael57581513,,0,4,2020-11-04 13:27:42,False,
16,2020-12-01 23:43:05,1333919580239048706,"RT @N_a_nsah: Untold presave link
December 6
#EndSars #RIPRinji #Untold 
https://t.co/EPZ1d63Nqr",Twitter for iPhone,,12,0,3667303335,fml☠️👽,ismaila_jr6,Nigeria,328,1384,2015-09-15 20:14:12,False,everything jiggy🌊💪🏿
17,2020-12-01 23:42:51,1333919521770450946,"RT @Wet_Wizkid: .@ReekadoBanks high on egbo n kaikai
Becos no sensible human will promote their song with #Endsars hashtag especially when…",Twitter for Android,,23,0,3727661356,ANONYMOUS WIZKID,21ryzing,Anonymous don't tell locations,562,1238,2015-09-21 11:13:23,False,No hating on the KING just positive vibes and cruise
18,2020-12-01 23:42:41,1333919479928131585,RT @NewNigeriaNet: Tomorrow is December and we shouldnt let Garba Shehu distract us from #EndSARS protester Nicholas Mbah court appearance…,Twitter for Android,,72,0,1323815595633184769,Stephen4dcrown,stephen4dcrown,earth ,25,379,2020-11-04 02:34:01,False,"humility, respectful and enigmatic"
19,2020-12-01 23:42:35,1333919452967170048,@YulEdochie l lost my mom during the Endsars protest due to heart attack..  I really wish I can get some support..  God bless you,Twitter for Android,,0,0,460312723,Gracious,tidylily,Winning family,1529,2290,2012-01-10 16:34:25,False,Entrepreneur #Technologist #HealthConscious #JTG Techmed Limited #Medical equipment and hospital disposable
20,2020-12-01 23:42:32,1333919439780261890,"@90cAyo Nothing wey Chinua Achebe no go see for Things Fall Apart..😌
#EndSARS",Twitter Web App,,0,0,139176643,Rẹ̀mí Moses,Remmymoses,"Lagos Mainland, 🇳🇬",340,284,2010-05-01 20:03:12,False,#PanBlack|#ProRestructure🇳🇬|#Pro #EndSARS |#BeardGang😎|#FriedRiceAddict🥗|#MusicEnthusiast🎶|@UnilagNigeria Alumnus🎓|Co-founder •JC•👔
21,2020-12-01 23:42:29,1333919430657658883,RT @IjeomacynthiaA: #Endsars when you are a big fan of #endSARs protest..😂 https://t.co/6dqARzSf08,Twitter for Android,,146,0,1323980203299950594,Michael Babb,Michael57581513,,0,4,2020-11-04 13:27:42,False,
22,2020-12-01 23:42:28,1333919423858696194,"RT @Deshysmalls: If the Nigerian Police official handle can brazenly photoshop weapons and claim they were recovered, imagine how many inno…",Twitter for iPhone,,2801,0,508137093,Abdul Abdul,af_abdulkareem,"Maltat, France",1027,792,2012-02-29 00:28:19,False,Chainbreaker. RT/Likes =/= Endorsement.
23,2020-12-01 23:42:24,1333919409623113728,RT @TopeAkinyode: BREAKING: House of Reps condemns the UK Parliament's position on #EndSARS &amp; the allegation against General Gowon. The Hou…,Twitter for Android,,2456,0,4880869799,Village Boy,handxtend,"Bangkok, Thailand",270,630,2016-02-06 09:43:07,False,No Labels. No limits.
24,2020-12-01 23:42:05,1333919326034857984,"RT @Deshysmalls: If the Nigerian Police official handle can brazenly photoshop weapons and claim they were recovered, imagine how many inno…",Twitter for Android,,2801,0,602101529,The Obi of Lohum,touchedByElda,The abroad in Jesus name,9973,9830,2012-06-07 18:42:55,False,"❤Onye Igbo 
💻Writes for @merifeblog and https://t.co/9eYOnydSyj
🔌Data plug
📩talk2elda@gmail"
25,2020-12-01 23:41:56,1333919289468989440,"RT @dondekojo: Even Oputa Panel was live on TV, the then President was summoned and he showed up to be questioned by Beko Kuti/ Falana. Let…",Twitter for Android,,1262,0,2220446038,Osha,The_Phrontist,,2200,733,2013-12-11 23:11:40,False,Tech • RE • Security • Politics • Business • God Complex • Sociopath • Flippant • Libra • iENTP • Philosopher • Madridista • Thickness & Ass Lover
